name,type,price,link
African Giant Pixie Frog (Pyxicephalus Adspersus),Other Frog,$50,/us/c/amphibians/other-frogs/1429802
Coffee Pacman,Horned Frog,$40,/us/c/amphibians/horned-frogs/1429097
Camo Pacman,Horned Frog,$40,/us/c/amphibians/horned-frogs/1429033
"6-7""",Axolotl,$550,/us/c/amphibians/axolotls/1428955
Yellow Splashback Dart Frogs,Dyeing Dart Frog,$75,/us/c/amphibians/frogs/dyeing-dart-frogs/1428163
Yellow Back Tincs,Dyeing Dart Frog,$50,/us/c/amphibians/frogs/dyeing-dart-frogs/1327658
Awesome Azureus,Dyeing Dart Frog,$50,/us/c/amphibians/frogs/dyeing-dart-frogs/1327652
Cobalt Tincs,Dyeing Dart Frog,$50,/us/c/amphibians/frogs/dyeing-dart-frogs/1327647
Green And Bronze Auratus,Green and Black Dart Frog,$45,/us/c/amphibians/frogs/green-and-black-dart-frogs/1327641
Dendrobates Auratus Peña Blanca (CB) Multiple Ages,Other Dart Frog,$40,/us/c/amphibians/frogs/other-dart-frogs/990656
Giant Pixie - Pyxicephalus Adspersus (Captive Bred CBP),Bullfrog,$35,/us/c/amphibians/bullfrogs/759923
Inferno,Horned Frog,$200,/us/c/amphibians/horned-frogs/1364333
High Red Ornate,Horned Frog,$250,/us/c/amphibians/horned-frogs/1364327
Mac,Axolotl,$100,/us/c/amphibians/axolotls/1425755
Lucy,Axolotl,$50,/us/c/amphibians/axolotls/1425752
Golden Albino,Axolotl,$50,/us/c/amphibians/axolotls/1425696
Reticulated Blue And Black Auratus Dart Frog,Other Dart Frog,$50,/us/c/amphibians/frogs/other-dart-frogs/757141
Green And Bronze Auratus Dart Frog,Other Dart Frog,$50,/us/c/amphibians/frogs/other-dart-frogs/757130
Turquoise And Black Auratus Dart Frog,Other Dart Frog,$50,/us/c/amphibians/frogs/other-dart-frogs/757128
Highland Bronze Auratus Dart Frog,Other Dart Frog,$50,/us/c/amphibians/frogs/other-dart-frogs/757100
Bumblebee Dart Frog,Other Dart Frog,$80,/us/c/amphibians/frogs/other-dart-frogs/1306913
River Frogs,Other Tree Frog,$12,/us/c/amphibians/frogs/other-tree-frogs/936798
Possible Female Red Eyes Tree Frogs,Red-Eyed Tree Frog,$75,/us/c/amphibians/frogs/red-eyed-tree-frogs/904445
Red Eye Tree Frogs,Red-Eyed Tree Frog,$55,/us/c/amphibians/frogs/red-eyed-tree-frogs/1425386
Snowflake (Captive Bred),White's Tree Frog,$40,/us/c/amphibians/frogs/whites-tree-frogs/1425379
SUPER PIKACHU Pac-man,Horned Frog,$55,/us/c/amphibians/horned-frogs/1351250
Captive Bred Southern Toad Tadpoles,Other Frog,$5,/us/c/amphibians/other-frogs/1425068
Captive Bred Southern Tadpoles,Toad,$5,/us/c/amphibians/toads/1425023
Strawberry Albino Pacman,Horned Frog,$30,/us/c/amphibians/horned-frogs/1283358
Peppermint Pacmans,Horned Frog,$25,/us/c/amphibians/horned-frogs/1283356
Pikachu Pacman,Horned Frog,$40,/us/c/amphibians/horned-frogs/1282845
Santa Isabel,Other Dart Frog,$40,/us/c/amphibians/frogs/other-dart-frogs/908212
Albino Pacman,Horned Frog,$20,/us/c/amphibians/horned-frogs/909735
Nicaraguan,Glass Frog,$39,/us/c/amphibians/frogs/glass-frogs/1222245
Wholesale All Morphs,Axolotl,$150,/us/c/amphibians/axolotls/1423839
"GFP MAC, Copper Axanthics & Axanthic Mels(PRE-ORDER)",Axolotl,$125,/us/c/amphibians/axolotls/1423813
